tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_carvacrol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_carvacrol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
203,0.0015764580064282902,1.08033767171354e-05,0.0002778551887102885,0.9981348834281444,0.010573556360256591,9.029618912960474e-05,0.0022916902808530616,0.9870444571697607,0.3692049213850541,0.21733915821551766,0.21676038131124334,0.19669553908818488,0.39462129442774346,0.28948244987652166,0.284899492309282,0.030996763386452936
204,0.0014728774571533463,1.1153513403488495e-05,0.00029522044311913384,0.998220748586324,0.009883407653218629,9.326592682866184e-05,0.0024360447101468806,0.9875872817098058,0.34517518302609157,0.23201803980047467,0.23146169229790564,0.191345084875528,0.3644376385333178,0.3052647352743357,0.30051179162260877,0.029785834569737712
205,0.0013826893355907135,1.1440651204401166e-05,0.00031045417978357994,0.9982954158334213,0.009281963459218785,9.570556903408601e-05,0.002562780944031143,0.988059550027716,0.3240395476903461,0.24485026373006483,0.2443194549651774,0.18679073361441165,0.3385499052054196,0.3187839728332671,0.3138928792459333,0.02877324271538003
206,0.0013033511743695439,1.1680226726655022e-05,0.000323940174479473,0.9983610284244243,0.008752469328331227,9.774434625794008e-05,0.002675054874416807,0.9884747314509941,0.3053142293132493,0.25616164947744885,0.2556579613791741,0.1828661598301277,0.31610138169877855,0.33049484005599067,0.32548981541080657,0.02791396283442407
207,0.001232946635024011,1.1883040504110746e-05,0.0003359722910815693,0.9984191980333904,0.008282279469380137,9.947281354574988e-05,0.0027752863248561538,0.988842961392218,0.28861505944527194,0.2662061878420864,0.26573022414530967,0.17944852856733187,0.29644895768015195,0.34073779540371363,0.3356376155126217,0.027175631403512666
208,0.001169999031730871,1.2056870845820365e-05,0.0003467800993016319,0.9984711639981216,0.007861637319056274,0.00010095627881527619,0.0028653679741455066,0.989172038427983,0.2736338983381248,0.2751846220457804,0.2747363585112074,0.1764451211048874,0.27910048228082845,0.3497728320534745,0.34459229337329417,0.02653439229240281
209,0.001113349060160856,1.2207458160956712e-05,0.0003565460001379158,0.9985178974815403,0.007482874789845322,0.00010224300358811581,0.0029468052421970647,0.9894680769643696,0.2601211593950535,0.2832576099809556,0.2828366217179037,0.1737846089060872,0.26367293330002994,0.3578019304148866,0.35255286188205526,0.02597227440302813
210,0.001062071944377882,1.233912889210631e-05,0.0003654170314787278,0.9985601718952513,0.0071398689308407705,0.00010336940745916826,0.0030208128600470036,0.9897359488016532,0.24787278948854416,0.29055519817858516,0.2901608092518731,0.17141120308099747,0.24986375995668797,0.36498438926697735,0.35967636805224024,0.025475482724094438
211,0.0010154197329777037,1.245520493236972e-05,0.0003735132315448813,0.998598611830545,0.006827663043555876,0.00010436348711743737,0.0030883833725284726,0.9899795900967983,0.23672049015118427,0.297183744838902,0.2968151277254636,0.16928063728445025,0.23743080280585638,0.3714475377740176,0.36608840593266895,0.025033253487457056
212,0.0009727800996134922,1.2558276734426311e-05,0.00038093367087204674,0.99863372795278,0.006542195852480096,0.0001052470995308496,0.0031503366032504714,0.9902022204447385,0.22652431382653254,0.3032310618735116,0.30288730400191366,0.1673573202980421,0.22617794047545398,0.3772943761073148,0.371890620239936,0.024637063177295117
