tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_carvacrol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_carvacrol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_carvacrol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_carvacrol,phase2_w_water4C_aparicio2007
328,0.0009684256403710853,0.00021591014755673832,0.0003650579704572483,0.998450606241615,0.006504207162211783,0.0017831992534653941,0.0030150092886203537,0.9886975842957024,0.22770158851048944,0.24844876917089362,0.24844042306490335,0.2754092192537136,0.25894856613134054,0.34744257362363634,0.347430902032126,0.04617795821289712
329,0.0009404264506997129,0.00021838425910695005,0.0003694570176324484,0.9984717322725609,0.006316854231188174,0.0018038319904112388,0.0030516777638307825,0.9888276360145697,0.22147268289477012,0.2516964144651038,0.2516923437522841,0.275138558887842,0.25137213305948586,0.3512956129038834,0.3512899313626584,0.04604232267397237
330,0.003087489360998166,2.6325544684130088e-05,4.24188716894829e-05,0.9968437662226283,0.020563458059351974,0.00021560894731582051,0.00034741496827633405,0.9788735180250558,0.6460074916367322,0.02709795611941828,0.027069491192805828,0.2998250610510437,0.8535784019280545,0.044029234207452264,0.04398298389562083,0.05840937996887227
331,0.0028423839323322266,4.8486466386405213e-05,7.860197793062653e-05,0.9970305276233508,0.018949398211737085,0.00039749525714125993,0.000644384211881984,0.9800087223192396,0.6025158909057121,0.05050725406309286,0.05045967828736028,0.2965171767438347,0.7820893672125016,0.08061954956216516,0.08054360923080524,0.0567474739945281
332,0.0026328840584123304,6.737960021738272e-05,0.00010978408056715208,0.9971899522608032,0.017567290995412967,0.0005528409744271421,0.0009007642948536596,0.9809791037353063,0.5644073981933491,0.07092115885279957,0.07086117516998952,0.2938102677838619,0.7216787363576675,0.11151306903584637,0.11141875353578376,0.05538944107070213
333,0.002451874758538488,8.366761195687065e-05,0.00013690904304559793,0.997327548586459,0.01637127445379672,0.000686974020677335,0.001124126212860044,0.9818176253126659,0.5307666944712776,0.08887350715409036,0.08880594474512865,0.2915538536295034,0.6699527643883582,0.1379467816546995,0.1378419133179414,0.054258540639000874
334,0.002293982004795344,9.784849379573189e-05,0.00016070503589960542,0.9974474644655092,0.015326587389559427,0.0008039116780934263,0.0013203336104265248,0.9825491673219205,0.5008668314758037,0.10478045261633125,0.10470880895645783,0.28964390695140707,0.6251614478650771,0.1608232814897421,0.16071331853204263,0.05330195211313822
335,0.0021550837357774046,0.00011030263684308261,0.00018174008771995885,0.9975528735396596,0.014406487779200408,0.0009067312715368088,0.0014939753531183501,0.9831928055961443,0.4741260724271914,0.11897044898525794,0.11889726713427742,0.2880062114532733,0.5859957670343857,0.1808166734130643,0.18070544832346117,0.052482111229088836
336,0.002031971835539879,0.00012132504974869481,0.0002004624113909297,0.9976462407033205,0.01359010977663702,0.0009978252566138898,0.0016486822589557224,0.9837633827077934,0.45007485748631715,0.13170582299705913,0.13163295570424005,0.2865863638123837,0.5514569773920529,0.1984406283354321,0.198330839481431,0.051771554791084064
337,0.0019221156157941334,0.00013114774172918827,0.00021722965781843546,0.9977295069846582,0.012860957007610445,0.001079079220986781,0.001787358339863602,0.984272605431539,0.42833078779892675,0.14319841631340874,0.1431272125430441,0.28534358334462034,0.5207697747988919,0.21409347268323822,0.21398701715909235,0.0511497353587775
338,0.00182349390794946,0.0001399555133161397,0.00023233025491838143,0.997804220323816,0.012205828654111935,0.0011519979263486591,0.0019123503287038143,0.9847298230908356,0.4085797744634812,0.15362107314214288,0.15355251112129664,0.2842466412730793,0.49332308871471475,0.22808887640296205,0.22798707894784168,0.05060095593448146
339,0.001653723757779744,0.00015509436567309973,0.00025842946214467145,0.9979327524144025,0.011076869383295142,0.0012774644508438391,0.002128603766537545,0.9855170623993234,0.37405924277500013,0.17180187528625682,0.1717405018766623,0.28239838006208084,0.4462920222620684,0.25206083284060665,0.25197078823130953,0.04967635666601556
340,0.0015801449785065712,0.00016164647931916345,0.0002697813610332525,0.997988427181141,0.0105871029676399,0.0013318189353274839,0.00222275131840691,0.9858583267786257,0.35888998888253093,0.1797773274178436,0.17972014202681286,0.28161254167281263,0.4259903184105227,0.2624049591092979,0.2623214906852725,0.04928323179490696
341,0.0015128253220320115,0.00016763639191616055,0.00028018869765122434,0.9980393495884006,0.010138748975413024,0.0013815373280871958,0.002309111645082998,0.9861706020514167,0.34489929268612085,0.18712604275474973,0.18707327413905575,0.2809013904200737,0.40745735938801564,0.2718459264913671,0.27176926728876855,0.04892744683184874
342,0.0014510003569763671,0.00017313332554813783,0.0002897641739184294,0.9980861021435571,0.009726779145708082,0.001427187194561057,0.002388608415795508,0.9864574252439354,0.3319554663605378,0.19391899707662966,0.19387078657021958,0.28025474999261296,0.3904714284081838,0.2804971975034502,0.2804274626546623,0.04860391143370374
343,0.0013940249357204792,0.00017819561690460484,0.00029860333385605515,0.9981291761135188,0.009346945380922707,0.0014692473417181743,0.0024620255094773675,0.9867217817678817,0.319945643665764,0.20021685844615733,0.20017328130659226,0.27966421658148644,0.37484640829381327,0.288453975551923,0.2883911936301194,0.04830842252414437
