tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_eugenol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_eugenol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_eugenol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_eugenol,phase2_w_water4C_aparicio2007
183,0.0005498652739637318,0.00018049237052917717,6.126655962286968e-06,0.9992635156995449,0.0037125653173359133,0.0014985643349756928,5.56013622718482e-05,0.9947332689854165,0.12646228231458764,0.2846196852466651,0.28463281171619437,0.3042852207225529,0.13990615733821882,0.3872036839422878,0.4232577361012443,0.04963242261824906
184,0.000533227619752194,0.00018122990982345812,6.1683192978439395e-06,0.9992793741511266,0.0036005558724220388,0.001504823365483051,5.598451151817111e-05,0.9948386362505767,0.12266484776503014,0.28626352140194605,0.2862710219858138,0.30480060884721005,0.13562970950035014,0.389223855521866,0.42545753987725865,0.04968889510052523
185,0.0005175662491773432,0.0001819218665073875,6.207610016192412e-06,0.999294304274299,0.0034951006705666466,0.0015106970398366915,5.6345896782643625e-05,0.994937856392814,0.11908825044601888,0.28780975681471793,0.28781191884845375,0.30529007389080937,0.13160696557647,0.3911237669267516,0.42752632785573647,0.049742939641041935
186,0.0029024903061584547,3.978253485441527e-05,9.599692479163055e-07,0.9970567671897392,0.019355542810568345,0.00032623140225491754,8.604705815967402e-06,0.9803096210813607,0.6196608924542744,0.04486305525959496,0.045002451627581604,0.29047360065854916,0.7963306103593468,0.07089684385996312,0.07773554081308626,0.05503700496760383
187,0.002550884169053722,6.652281244167716e-05,1.6658010722179849e-06,0.9973809272174324,0.017041504106451937,0.0005464954123874541,1.4958376185744855e-05,0.9823970421049748,0.5552389440547363,0.08024419379048357,0.08044544388097646,0.2840714182738035,0.6906576927285312,0.12274259067701311,0.13450192962117646,0.05209778697327925
188,0.002276109231947073,8.583479543669803e-05,2.22469046842815e-06,0.9976358312821478,0.015227472497661551,0.0007061497887960426,2.000545559900013e-05,0.9840463722579433,0.501426841906744,0.10853294048688784,0.10875852002801288,0.28128169757835525,0.6096020963767032,0.16225540637678168,0.17772408673976017,0.05041841050675504
189,0.0020543670653269076,0.00010044432925748951,2.6842553850121106e-06,0.9978425043500305,0.013759884852178519,0.000827295976439253,2.4165997004725726e-05,0.9853886531743775,0.4562985551025416,0.1315190909421513,0.13174978330682133,0.2804325706484857,0.5455090448828508,0.1933483161810168,0.21171269503877937,0.049429943897353064
190,0.0018714211964050262,0.0001118739349207691,3.070822141830017e-06,0.9980136340465323,0.012546565923609091,0.0009223186192588168,2.7672737333566838e-05,0.9865034427197984,0.4181419760654242,0.15049100007655136,0.15071673949342415,0.2806502843646003,0.49357898332412503,0.21844502267592986,0.2391324485931661,0.04884354540677907
191,0.001717907707687696,0.00012105130509455267,3.401131699964437e-06,0.9981576398555179,0.011526681775263324,0.0009987865489752272,3.067411582692366e-05,0.9874438575599345,0.38557916629140426,0.1663753441067415,0.16659089701108012,0.28145459259077416,0.45065930134207327,0.23912362150478317,0.26171594003006055,0.04850113712308297
192,0.0015873030043329504,0.0001285763348394108,3.6867852229269225e-06,0.9982804338756048,0.010657716374111234,0.0010616077872659798,3.3273331516837234e-05,0.988247402507106,0.35753249374567186,0.17984610055449327,0.18004887829538518,0.28257252740444966,0.41459696629150916,0.25645452200884244,0.2806371431608417,0.04831136853880676
