tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_camphor,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_camphor,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_camphor,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_camphor,phase2_w_water4C_aparicio2007
44,0.0013645983968755184,0.00018378139406369101,1.1433692266440134e-05,0.9984401865167943,0.0091699083800078,0.001518659512752947,9.574538773942761e-05,0.9892156867194998,0.3190643873288875,0.24550629785890668,0.24678053548804937,0.1886487793241564,0.33364349452290676,0.31569354323053084,0.32157809203623816,0.02908487021032422
45,0.001154079233201054,0.00020394591781139394,1.2051863814595593e-05,0.998629922985173,0.007763438780569742,0.00168706671414696,0.0001010285093761612,0.9904484659959072,0.26934082985513486,0.27508545239268245,0.27624566737468137,0.17932805037750144,0.27531599860916917,0.345776610259367,0.35188111036324354,0.027026280768220286
46,0.0010010903122972957,0.00021868833719795148,1.2456691239503676e-05,0.9987677646592652,0.006739459020048097,0.001810406641844216,0.00010450226448993066,0.9913456320736178,0.23301253232859398,0.2965026453229012,0.29754850336580213,0.17293631898270262,0.23444035577662578,0.3668431365375935,0.3730629203228659,0.025653587362914954
47,0.0008845048539850546,0.00022996789580264574,1.2742320207106916e-05,0.9988727849300051,0.005958076453856324,0.0019048983088832845,0.00010696103310034433,0.99203006420416,0.20531923614433623,0.31273165868497166,0.31367297950764833,0.1682761256630438,0.20417998898367876,0.3824319060816192,0.38871550920275366,0.024672595731948306
48,0.000792549138790253,0.0002388898229819182,1.2954598459347406e-05,0.9989556064397686,0.005341122195631397,0.001979715110085287,0.0001087931358611691,0.992570369558422,0.18351168954489647,0.32545697558609826,0.32630546304253494,0.16472587182647028,0.18086403143579705,0.39443985565862993,0.4007596987665939,0.023936414138979102
49,0.0007180864550252903,0.00024612973724289666,1.3118536419016208e-05,0.9990226652713128,0.004841115286336857,0.0020404760979458314,0.00011021109029647912,0.9930081975254208,0.16589423775878684,0.3357043805620937,0.33647111722979217,0.16193026444932732,0.16234243056409997,0.4039768555968699,0.41031723178124074,0.023363482057789327
50,0.0006565183556725976,0.0002521256409103316,1.3248939605948171e-05,0.9990781070638112,0.004427411117972298,0.0020908300199803213,0.0001113410524028316,0.9933704178096444,0.15136506541966108,0.34413442919905646,0.34482920232797654,0.1596713030533059,0.14727120130617383,0.4117361831261367,0.41808774467296816,0.02290487089472129
51,0.000604739849432246,0.0002571746470859809,1.3355130107630351e-05,0.9991247303733741,0.004079289468562984,0.0021332552487186014,0.00011226264837454525,0.9936751926343438,0.13917741347349208,0.35119182178169533,0.35182305779890277,0.15780770694590987,0.13476655894238743,0.41817349815831534,0.4245305032671685,0.022529439632128726
52,0.0005605747907889067,0.000261485735318744,1.3443270230220753e-05,0.9991644962036621,0.00378221198349546,0.0021694969225781345,0.00011302862770951082,0.993935262466217,0.12880730028833592,0.3571869737607557,0.3577618660308403,0.15624385992006803,0.12422323902369986,0.4236007466758946,0.42995959145614954,0.02221642284425604
53,0.0005224508416588338,0.00026521033010247914,1.351759614206652e-05,0.9991988212320967,0.003525664098775618,0.0022008207388206184,0.00011367532135599726,0.9941598398410477,0.1198762379187816,0.3623431806801588,0.3628678634713235,0.15491271792973604,0.11521266969390227,0.4282387483571012,0.4345971421484897,0.021951439800506817
54,0.0004892026589262525,0.0002684609193207227,1.3581115597822594e-05,0.9992287553061552,0.003301846472837041,0.0022281676965536287,0.00011422856897836211,0.9943557572616311,0.11210401848666554,0.3668251983804057,0.3673049156713515,0.15376586746157714,0.10742281387315665,0.43224824467936557,0.43860472663833455,0.02172421480914321
55,0.00045994767771357785,0.00027132285752676124,1.3636022925605958e-05,0.999255093441834,0.00310484808975881,0.002252252314516622,0.00011470725103788473,0.9945281923446867,0.10527876022265455,0.37075725912468904,0.37119651238178286,0.15276746827087356,0.1006210431348857,0.4357490509012434,0.4421026964860614,0.02152720947780954
56,0.000434004939687037,0.0002738621069948987,1.3683956467418158e-05,0.9992784489968507,0.0029301053364985696,0.0022736271132007243,0.00011512548375682233,0.994681142066544,0.0992372776237233,0.374234816613432,0.3746374888569104,0.15189041690593422,0.09463036588276322,0.438832314431235,0.4451825518700659,0.021354767815935913
57,0.0004108404549084124,0.00027613046382101504,1.3726164086848925e-05,0.9992993029171836,0.002774037559321507,0.0022927261874753214,0.00011549403250717377,0.994817742220696,0.09385185084982642,0.3773324278592915,0.3777018859566692,0.1511138353342129,0.08931371901451603,0.44156861266236846,0.44791510531695256,0.021202563006163
58,0.0003900294716481864,0.0002781691764843707,1.376361291224292e-05,0.9993180377389551,0.00263379519139787,0.0023098954006848904,0.00011582125035891963,0.9949404881575583,0.08902108639567231,0.38010917802288874,0.38044835644180997,0.1504213791396291,0.08456330084292968,0.4440134506532722,0.4503560200288928,0.021067228474905303
59,0.00037122982852256516,0.0002800115030150417,1.3797063785381254e-05,0.9993349616046769,0.0025070817311035223,0.002325413737864751,0.00011611371569108356,0.9950513908153407,0.08466346554502742,0.3826124981371127,0.3829239674220428,0.1498000688958171,0.08029315248907276,0.44621108385513714,0.4525496583140926,0.020946105341697403
60,0.00035416277848824684,0.0002816845732507879,1.3827124427859594e-05,0.999350325523833,0.002392025552512045,0.0023395088648471623,0.00011637668787477221,0.995152088894766,0.08071270119675805,0.3848809037302533,0.38516692660200147,0.14923946847098715,0.07643388866189964,0.4481972325718148,0.4545318126791111,0.02083706608717439
