tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_carvone,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_carvone,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_carvone,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_carvone,phase2_w_water4C_aparicio2007
32,0.0002734567012634796,1.274132375713738e-05,4.979149304371159e-06,0.999708822825675,0.0018515547524791157,0.0001075062623741793,4.1457381817042264e-05,0.9979994816033296,0.029033847978859943,0.46666842942683134,0.46667221368418105,0.03762550891012774,0.024398446209977966,0.48869423506128257,0.48224557112745514,0.0046617476012841465
33,0.00026646120863291087,1.274679116110587e-05,4.980023781002422e-06,0.9997158119764249,0.0018042615736448533,0.0001075567325090179,4.146633544119847e-05,0.998046715358405,0.028195244291433223,0.4671679269671031,0.4671713753425816,0.03746545339888211,0.023686284208098922,0.4890635731619084,0.48260968438637,0.004640458243622584
34,0.0002598177079219291,1.2751938225807096e-05,4.980842639597339e-06,0.9997224495112127,0.0017593445121894037,0.00010760428524053977,4.147474249914066e-05,0.998091576460071,0.027403809437161215,0.4676393393447707,0.4676424705789901,0.03731438063907799,0.023014589083030758,0.48941192587478893,0.48295310897210586,0.004620376070074334
35,0.00025350007779043917,1.2756792146972115e-05,4.981610884840861e-06,0.9997287615191779,0.0017166274871751159,0.00010764916564559813,4.1482650797583135e-05,0.9981342406963817,0.026655667030980535,0.4680849748463171,0.46808780615441725,0.03717155196828509,0.02238000221964045,0.4897410349380212,0.48327756201129496,0.004601400831043421
36,0.00024748473782660083,1.2761377174409901e-05,4.98233296389167e-06,0.999734771552035,0.0016759515225654414,0.00010769159245842631,4.1490102910584965e-05,0.9981748667820655,0.025947354597997328,0.4685068951492479,0.4685094423820475,0.03703630787070716,0.021779527082441092,0.4900524543028037,0.483584575495368,0.004583443119387259
37,0.00024175034452855612,1.276571494067425e-05,4.983012816070627e-06,0.9997405009277147,0.0016371727032614798,0.00010773176101754179,4.1497136663106077e-05,0.9982135983990579,0.02527576971575436,0.46890694747711786,0.4689092252615268,0.03690805754560099,0.02121048165912632,0.4903475748062559,0.4838755206052199,0.0045664229293980434
38,0.00023627753049450804,1.2769824791437176e-05,4.983653937028679e-06,0.999745968990777,0.0016001604212998915,0.00010776984620287412,4.150378572529124e-05,0.998250565946772,0.02463812435719785,0.4692867918185557,0.46928881368038244,0.036786270143864166,0.02067045821297326,0.4906276450472152,0.4841516282924031,0.004550268447408376
39,0.00023104867988150437,1.2773724141458144e-05,4.9842594653303595e-06,0.9997511933365116,0.0015647958656652456,0.0001078060055685933,4.1510080385172776e-05,0.998285888048381,0.024031906011858416,0.46964792404975375,0.46964970252150057,0.03667046741688733,0.020157289065488804,0.49089378912712794,0.48441400676962604,0.00453491503775715
40,0.00022604773347280403,1.2777428681861818e-05,4.9848322148098925e-06,0.9997561900056305,0.001530970710983573,0.00010784038120470094,4.151604786311397e-05,0.9983196728599486,0.02345484444482116,0.46999169576950656,0.4699932424852867,0.036560217300385625,0.019669017381011386,0.49114702180595476,0.4846636564527147,0.0045203043603193865
41,0.00022126001947191904,1.2780952587400783e-05,4.985374714973092e-06,0.9997609736532257,0.001498585979085153,0.00010787310158393913,4.1521712687363685e-05,0.9983520192066435,0.022904883157070902,0.47031933130033654,0.4703206570797205,0.03645512846287205,0.01920387211940255,0.4913882614921664,0.48490148276722084,0.004506383621210142
42,0.00021667210601347464,1.2784308693569496e-05,4.9858892451304285e-06,0.9997655576960479,0.001467551046515431,0.00010790428314198954,4.15270970124433e-05,0.99838301757333,0.02238015479017675,0.47063194234025035,0.4706330572625558,0.03635484560701713,0.018760246478933356,0.49161834142270505,0.4851283071705324,0.004493104927829117
43,0.00021227167231081028,1.2787508654460177e-05,4.9863778656013696e-06,0.9997699544411691,0.0014377827773225792,0.0001079340316845653,4.153222090887528e-05,0.9984127509700841,0.02187895985370978,0.4709305406455784,0.47093145411588133,0.03625904538483053,0.01833667927455666,0.4918380193219385,0.485344876674441,0.004480424729063912
44,0.0002080473953316482,1.279056307023634e-05,4.986842441437615e-06,0.9997741751991568,0.0014092047602262282,0.0001079624435292703,4.1537102587052465e-05,0.9984412956936574,0.021399748260953866,0.47121604900375713,0.471216769811706,0.03616743292358311,0.017931838795181242,0.4920479857702087,0.48555187209550604,0.004468303339103982
45,0.00020398885050751505,1.2793481608715393e-05,4.987284666591913e-06,0.9997782303832172,0.0013817466401674485,0.00010798960658970059,4.1541758621588414e-05,0.9984687219946212,0.0209411032528723,0.471489310833954,0.4714898472063098,0.03607973870686387,0.017544508763338486,0.4922488714885102,0.48574991523685673,0.00445670451129462
46,0.0002000863972998393,1.27962729695267e-05,4.987706050688612e-06,0.9997821296236798,0.0013553433469235825,0.00010801560014091024,4.154620386796055e-05,0.9984950948490676,0.020501727256617915,0.47175109624746137,0.47175145589510425,0.035995720600816364,0.017173576075660724,0.4924412533941282,0.4859395748579789,0.004445595672232214
47,0.00019633123412666974,1.2798945632684863e-05,4.988108089590859e-06,0.999785881712151,0.0013299354691980808,0.00010804050110034129,4.155045286928791e-05,0.9985204735768323,0.02008043006847526,0.4720021208314105,0.47200231099175266,0.03591513810836159,0.0168180201231136,0.49262566164184257,0.4861213736180437,0.004434944617000169
48,0.00019271506508230192,1.280150662014106e-05,4.988491974373954e-06,0.9997894949363231,0.0013054670018001445,0.00010806437378050018,4.15545175121393e-05,0.9985449141069072,0.019676117071127194,0.47224302922228034,0.4722430566970022,0.03583779700959025,0.016476903294633558,0.4928025815495233,0.4862957899711358,0.004424725184707538
49,0.00235809784582426,7.222126200163301e-06,3.500124362263612e-06,0.9976311799036134,0.01577745801929544,6.021594524560411e-05,2.87976746467298e-05,0.9841335283608121,0.5382997949770489,0.14245983363164186,0.14251023280448658,0.1767301385868226,0.5869408500955566,0.19356809611985387,0.19107985606304936,0.028411197721539997
