tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_geraniol,phase2_w_water4C_aparicio2007
38,9.865193357350446e-05,1.3605899533125346e-05,5.487831284923582e-05,0.9998328638540441,0.0006683823843787054,0.00011487297709394267,0.00046947913235189374,0.9987472655061754,0.021526580260024384,0.4199561748744639,0.41995211571533486,0.1385651291501768,0.019649029012664035,0.47768460604194213,0.48401851335229007,0.018647851593103608
39,9.627593563379895e-05,1.3609450653104346e-05,5.491401021070133e-05,0.9998352006035025,0.0006522933833080303,0.00011490450173195711,0.00046979082856983626,0.9987630112863901,0.02100550057487053,0.4202469658574833,0.4202440071189936,0.1385035264486526,0.01916988482100669,0.47792778312825895,0.4842661861731438,0.018636145877590497
40,9.40117140193079e-05,1.3612830758613238e-05,5.494802399130379e-05,0.9998374274312307,0.0006369608703280197,0.00011493451072251561,0.00047008783294582326,0.9987780167860036,0.02050905429128874,0.42052399040156085,0.4205220814101185,0.13844487389703183,0.018713555603436714,0.4781593774176592,0.4845020636335412,0.01862500334536291
41,9.18515612468775e-05,1.3616051921957512e-05,5.498047059868944e-05,0.9998395519162324,0.0006223327092240123,0.00011496311088643648,0.0004703711607342309,0.9987923330191553,0.020035534792677438,0.4207882035891311,0.4207872970906511,0.1383889645275403,0.018278449500387647,0.4783801973198209,0.4847269688723957,0.01861438430739571
42,0.0022128197147767807,7.74358981926187e-06,2.1102522814430297e-05,0.9977583341725896,0.014815701103355446,6.460851205430697e-05,0.00017840486899589294,0.9849412855155943,0.5074352817258255,0.13376087184442123,0.133591833205413,0.22521201322434017,0.5792565211843771,0.1902788796393255,0.1925601118907661,0.0379044872855313
43,0.001703101738729559,9.836780966781077e-06,2.9659528046388464e-05,0.9982574019522573,0.011435303462445352,8.23059678613704e-05,0.00025145917509818974,0.9882309313945951,0.39352578737663074,0.20471296717565185,0.2045257393530741,0.19723550609464321,0.42045078234894145,0.2725577559240348,0.27592184689504756,0.03106961483197611
44,0.001393985205908029,1.083839604923224e-05,3.47079485397444e-05,0.998560468449503,0.00937593911585544,9.084328988975192e-05,0.0002947689316140917,0.9902384486626407,0.320817902007461,0.24831693712086556,0.24813921590050875,0.18272594497116468,0.3305622546432633,0.31883958391532796,0.3228391697885733,0.027758991652835425
45,0.0011826534917587274,1.1429900209093417e-05,3.810386843366713e-05,0.9987678127395985,0.00796393620460313,9.591442246972083e-05,0.0003239928839803952,0.9916161564889466,0.2706970615026749,0.2778255082195126,0.2776631617960052,0.17381426848180728,0.2725671864562771,0.3486048063763625,0.35302417211877757,0.025803835048583027
46,0.00102803378402084,1.1821243184232585e-05,4.056120798894033e-05,0.998919583764806,0.006928736583074555,9.928440525584722e-05,0.00034518641294687335,0.9926267925987228,0.2341073840940471,0.2991321472096575,0.2989854720366429,0.1677749966596526,0.2319885151354078,0.3693904682354705,0.3741085275054681,0.024512489123653683
47,0.0009096531073804413,1.2099544263584199e-05,4.242747287690441e-05,0.9990358198754791,0.006134949585469078,0.00010168933957783373,0.0003613087705818514,0.9934020523043713,0.20623274056204988,0.3152455852287331,0.31511335328298345,0.16340832092623353,0.20197919197919786,0.38474169512917766,0.389683460632854,0.023595652258770514
48,0.0008159667096356402,1.2307663930965477e-05,4.389531547708926e-05,0.9991278303109563,0.005505999610654203,0.00010349290754210584,0.0003740055605875357,0.9940165019212163,0.1842934098525954,0.3278618648806987,0.3277425237857267,0.16010220148097934,0.17887335439662685,0.39655001801514156,0.4016657380369324,0.022910889551299093
49,0.0007399123761123854,1.2469194756617617e-05,4.508107145136986e-05,0.9992025373576796,0.004994933275603165,0.00010489602500980282,0.00038427291748780877,0.9945158977818992,0.1665764688756951,0.33801011236331213,0.33790216199046436,0.1575112567705284,0.1605282686165678,0.4059184455646088,0.4111733792589115,0.022379906559911823
50,0.0006769075167707893,1.259820999350843e-05,4.605946301842127e-05,0.9992644348102173,0.004571225355847492,0.00010601891654871241,0.00039275191777780557,0.9949300038098261,0.15196981237022383,0.3463512308318545,0.3462533321836745,0.15542562461424714,0.14560652639168412,0.41353423858233984,0.41890314829441244,0.021956086731563573
