tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_geraniol,phase2_w_water4C_aparicio2007
311,0.0008507883193746399,0.00022028656417179387,4.294347892010897e-05,0.9988859816375335,0.0057311656944874995,0.0018247702366715117,0.0003652706848543092,0.9920787933839867,0.20020632262726354,0.2702981630401441,0.27030191278049465,0.2591936015520977,0.21949712968149943,0.36441218030553796,0.3741935734218612,0.04189711659110149
312,0.0030588729815827125,2.817836061733194e-05,6.175816893654373e-06,0.9969067728409063,0.020381202158123862,0.0002308781371427059,5.1958776151811576e-05,0.9793359609285816,0.6445865131133897,0.029523010285828495,0.02956739260054967,0.29632308400023205,0.8460089390377294,0.0476489252061537,0.049000771072837915,0.05734136468327895
313,0.0027981602412136585,5.115125012882971e-05,1.1033303545011606e-05,0.9971396552051125,0.01866796001089894,0.0004196423073881252,9.294499226967254e-05,0.9808194526894431,0.5996231781791984,0.05487771132579271,0.05495006275906029,0.2905490477359486,0.7694096129830328,0.0865912323582791,0.08903146865716423,0.05496768600152402
314,0.0025801745112498547,7.031019880504938e-05,1.4971678963899693e-05,0.9973345436109811,0.017232142554850373,0.000577440522356108,0.00012625740320085585,0.9820641595195926,0.5601850933829767,0.07684398941356385,0.07693344745687465,0.2860374697465847,0.7055265683228861,0.11901192007253729,0.12234695569860107,0.053114555905975566
315,0.002394756903811934,8.656859230065508e-05,1.8238650225363702e-05,0.9975004358536621,0.016008429271252803,0.0007116171018216512,0.00015394873721583165,0.9831260048897098,0.5254098424368969,0.09603562020531164,0.09613484306092893,0.2824196942968626,0.6514429463908654,0.14642298660580017,0.15050646389688954,0.0516276031064448
316,0.0022348657898454173,0.00010055868118874194,2.0997680408237405e-05,0.9976435778485576,0.014951395574470911,0.0008272724982282354,0.00017737718336372066,0.984043954743937,0.49456996237520895,0.11293450500388676,0.11303845496346299,0.2794570776574412,0.6050671811746801,0.16990307838570612,0.17462170443164346,0.05040803600797024
317,0.002095422880722505,0.00011273569894576896,2.336178138697121e-05,0.9977684796389448,0.014028186484531632,0.0009280898949146469,0.00019748401719649967,0.9848462396033573,0.4670642096470126,0.12792104918487088,0.1280262345459465,0.27698850662217,0.5648619420482834,0.1902420301765438,0.19550634047696677,0.04938968729820594
318,0.0019726518600974518,0.00012343758884905622,2.541198660396466e-05,0.9978784985644494,0.01321430651850682,0.0010168106670765677,0.00021494566785567622,0.9855539371465609,0.442398543383604,0.14129806556453578,0.14140205335163689,0.27490133770022324,0.5296726162894978,0.20803134751976976,0.21376947819362502,0.048526557997107436
319,0.0018636747340192539,0.00013292144679476507,2.720813225675584e-05,0.9979761956869293,0.012491043449465564,0.0010955252578783506,0.0002302626403128872,0.9861831686523431,0.42016666244876427,0.15330885356922672,0.1534099481195208,0.2731145358624882,0.4986154728872236,0.22372274017978466,0.22987610615611379,0.04778568077687796
320,0.0017662533123998835,0.0001413868496777254,2.879548339480935e-05,0.9980635643545275,0.011843814193675238,0.0011658598536185558,0.00024381426881647393,0.9867465116838897,0.40003313497123333,0.16415074672338717,0.16424777300813198,0.2715683452972476,0.4710027579220508,0.23766710752070647,0.24418732812559146,0.04714280643165124
321,0.0016786171231451422,0.00014899138256683478,3.0208985096841e-05,0.9981421825091913,0.011261061089475291,0.0012291009358192152,0.00025589390932257404,0.9872539440653829,0.381719556899329,0.17398526104495174,0.1740774158378357,0.27021776621788346,0.44629128375159965,0.2501411756333865,0.25698783969818256,0.04657970091683117
322,0.0015272822670339271,0.00016209906166929336,3.261867674449406e-05,0.9982779999945522,0.010253540277275729,0.0013382392608526732,0.0002765139333247127,0.9881317065285468,0.3496596383264024,0.1911431800571943,0.19122418026425994,0.2679730013521434,0.40391604662562686,0.271520824459215,0.2789231488946605,0.04563998002049754
323,0.0014614791290037822,0.00016778872557647319,3.365443700199145e-05,0.9983370777084178,0.00981498012655415,0.0013856652184712332,0.00028538772225102685,0.9885139669327236,0.3355529990094094,0.19867065056062638,0.19874570367381028,0.26703064675615396,0.3856122883643837,0.28075156639806537,0.2883922851913713,0.04524386004617962
324,0.001401147639727525,0.0001729999655409472,3.4597819537684915e-05,0.9983912545751938,0.00941263522786972,0.0014291311297891971,0.00029347574027099264,0.9888647579020702,0.3225332653515178,0.20560677005814884,0.2056757802271815,0.2661841843631519,0.3688971191296442,0.2891790951602694,0.2970366596481589,0.04488712606192746
325,0.0013456278178929511,0.00017779104149616404,3.546075922989117e-05,0.9984411203813809,0.009042165759199708,0.0014691160898034957,0.00030087886767235213,0.9891878392833245,0.31048048014131796,0.21201836812312522,0.2120813150548107,0.2654198366807461,0.3535721948984216,0.2969039833598832,0.3049596352516944,0.04456418649000073
326,0.0012943625236482273,0.00018221106016724257,3.6253201999781167e-05,0.9984871732141848,0.008699904050277941,0.00150602437644726,0.0003076812649175573,0.9894863903083572,0.2992915416527695,0.21796261487850313,0.21801953328372964,0.2647263101849978,0.33947088511527646,0.3040106741764161,0.31224798444162516,0.04427045626668232
327,0.0012468780214917217,0.0001863017202396801,3.6983507125273695e-05,0.9985298367511434,0.008382728255913434,0.00154019963683592,0.00031395373882324977,0.9897631183684273,0.2888773708262481,0.2234886901620314,0.22353965450858726,0.26409428450313327,0.326452175127316,0.31057059037570917,0.318975089440094,0.04400214505688081
328,0.0012027688107801716,0.00019009866377955485,3.765875278734064e-05,0.9985694737726529,0.0080879636214633,0.0015719358878714062,0.0003197563020077845,0.9900203441886576,0.2791606364171297,0.22863912938159733,0.2286842425293329,0.26351599167194,0.31439592593776433,0.3166445527486071,0.32520343121389816,0.043756090099730416
329,0.001161685727918874,0.00019363255332125384,3.8284976843705895e-05,0.9986063967419161,0.007813304946429242,0.0016014862964647762,0.0003251401923996209,0.9902600685647064,0.2700738921946962,0.2334508995494574,0.23349028424025536,0.26298492401559104,0.3031991470519372,0.3222846767656438,0.33098654106937253,0.04352963511304645
330,0.0011233263706728358,0.0001969299013169187,3.8867358174324556e-05,0.998640876369836,0.007556754087496561,0.0016290699480025895,0.00033014939554245644,0.9904840265689585,0.26155806957038324,0.23795628665733198,0.23799007913011758,0.26249556464216733,0.29277304329764264,0.32753587892101965,0.33637055035761265,0.04332052742372516
331,0.0010874275253304336,0.00020001376270343087,3.941036788906606e-05,0.9986731483440769,0.00731657048970831,0.00165487750590264,0.000334821915656002,0.9906937300887331,0.2535612187276678,0.2421836063376965,0.2422119515254982,0.26204322340913755,0.28304064871759305,0.3324370777076836,0.3413954258189194,0.043126847755803895
332,0.0010537589752908749,0.0002029042803148964,3.9917886139928834e-05,0.9987034188582543,0.007091230689135412,0.0016790756729774382,0.0003391907583765361,0.9908905028795107,0.2460374763878416,0.24615779582104483,0.24618084374060475,0.2616238840505087,0.27393492000619835,0.33702216329683216,0.3460959668590782,0.04294694983789127
333,0.0010221184545542868,0.00020561912957382282,4.039329643250052e-05,0.9987318691194395,0.006879395270023886,0.0017018108327152414,0.00034328472496201524,0.9910755091722988,0.2389462053313488,0.24990090241751275,0.2499188054597319,0.26123408679140653,0.26539718698623177,0.3413207847028401,0.3505026150002034,0.04277941331072468
334,0.0009923275572022328,0.00020817389815282834,4.083956590656367e-05,0.9987586589787384,0.006679882061667726,0.001723212161572179,0.00034712908906143016,0.9912497766876988,0.2322512730515511,0.2534324879675114,0.2534453988716565,0.26087084010928097,0.2573758843813181,0.3453589930852392,0.3546421153065127,0.04262300722692996
335,0.0009642282344823861,0.00021058236688238494,4.1259302935436636e-05,0.9987839300956998,0.006491643150080199,0.0017433939331433698,0.000350746082525852,0.9914142168342506,0.22592044981142492,0.2567699713997959,0.2567780417491108,0.2605315370396684,0.24982550805560455,0.3491597722519004,0.3585380617626689,0.04247665792982626
336,0.0009376800160618969,0.00021285677938090908,4.165481353737927e-05,0.9988078083910198,0.006313746640677987,0.001762457732426871,0.00035415537175585135,0.9915696402551393,0.21992489592474498,0.25992891191725304,0.2599322910328204,0.2602139011251816,0.24270574928322794,0.3527434769838919,0.3622113478360772,0.04233942589680287
