tie_line,phase1_x_2-phenylethanol,phase1_x_camphor,phase1_x_eugenol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_camphor,phase1_w_eugenol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_camphor,phase2_x_eugenol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_camphor,phase2_w_eugenol,phase2_w_water4C_aparicio2007
42,0.0010263603473637914,1.1545192233372397e-05,5.823254297592071e-06,0.9989562712061052,0.006919323226855478,9.699205151847567e-05,5.2768365012513264e-05,0.9929309163566135,0.25591046350655083,0.26166875168351944,0.2617012192392101,0.22071956557071962,0.26483683367725974,0.3374531056596547,0.3640325503062946,0.03367751035679093
43,0.0008738130276422887,1.1901538733390733e-05,6.318830119124347e-06,0.9991079666035052,0.005896038824803117,0.00010007282434983919,5.730897324523648e-05,0.9939465793776018,0.21954903953130311,0.27951757950964334,0.27954383666609955,0.221389544292954,0.22488845239595223,0.3567927035892057,0.38488382898442447,0.033435015030417695
44,0.0007605773573750061,1.2149732158856922e-05,6.698055119986684e-06,0.9992205748553462,0.0051353030176074475,0.00010222582170380293,6.0787674416444185e-05,0.9947016834862723,0.19218556278872725,0.292768244185709,0.292789930312388,0.22225626271317578,0.1954418676986958,0.3710154848392091,0.4002184534776266,0.03332419398446844
45,0.0006732378447106578,1.2332438165702895e-05,6.99723683674683e-06,0.9993074324802869,0.004547869190769183,0.00010381488175789372,6.353457750116103e-05,0.9952847813499719,0.17086277363668423,0.3029919211449441,0.30301014426630923,0.22313516095206234,0.17282901542480725,0.3819191859263646,0.4119746569152666,0.03327714173356157
46,0.0006038447512581785,1.2472531599729089e-05,7.239117095323717e-06,0.9993764436000467,0.004080722281685078,0.00010503585619788002,6.575692165980361e-05,0.9957484849404573,0.15378587505766095,0.3111182329711651,0.3111337617121962,0.22396213025897777,0.15491456423109734,0.39054626465320424,0.42127634132878344,0.03326282978691497
47,0.000547393340089104,1.2583358308832979e-05,7.438623086399052e-06,0.9994325846785157,0.0037004238398013925,0.00010600338836127468,6.759096444594373e-05,0.9961259818073914,0.1398047843238373,0.3177319237671317,0.3177453069355226,0.22471798497350826,0.14037005850886128,0.3975433770953216,0.42882067944542507,0.03326588495039199
48,0.0005005781684936318,1.2673222528529739e-05,7.605938809694883e-06,0.9994791426701681,0.0033848558842133163,0.00010678901032103662,6.912978935201177e-05,0.9964392253161135,0.12814937037405155,0.32321904824591496,0.3232306884616225,0.22540089291841098,0.12832528470914703,0.40333316113047646,0.4350633260711659,0.03327822808921065
49,0.00046112942503004296,1.2747559628513794e-05,7.748241539511426e-06,0.9995183747738019,0.0031188116766397347,0.00010743965156126798,7.043906705099453e-05,0.9967033096047481,0.1182848841534472,0.32784468322259797,0.3278548831088403,0.22601554951511463,0.11818618722844058,0.4082036104652315,0.4403147748791319,0.033295427427195934
50,0.00042743734740570264,1.2810075935683742e-05,7.870730408086523e-06,0.9995518818462504,0.002891495566477984,0.00010798737696483043,7.15664097152931e-05,0.9969289506468418,0.1098285831449103,0.3317968414252528,0.3318058333623986,0.22656874206743846,0.10953328411999674,0.4123577858328661,0.4447939525797498,0.033314977467387374
51,0.000398328835640135,1.2863384641912022e-05,7.977261945429457e-06,0.9995808305177726,0.002695033573495728,0.00010845483362852788,7.254715982204943e-05,0.9971239644330537,0.1024993864802778,0.3352125624161701,0.3352205282320909,0.22706752287146126,0.10206188278079655,0.41594299918731714,0.44865968245877247,0.03333543557311387
52,0.0003729289544727672,1.2909382188248513e-05,8.070755194129736e-06,0.9996060909081448,0.0025235487236127145,0.00010885848165374963,7.340808482788148e-05,0.9972941847099057,0.09608626764187338,0.33819408456443356,0.3382011689103751,0.22751847888331792,0.09554530476264504,0.4190687303555507,0.45203000032683677,0.03335596455496743
53,0.0003505719376293841,1.2949476749849831e-05,8.153460424279486e-06,0.9996283251251965,0.002372566197786053,0.00010921055978850513,7.416983039989713e-05,0.9974440534120255,0.09042773293745643,0.3408192251663299,0.34082554481355215,0.2279274970826614,0.0898114050295762,0.4218180461492894,0.4549944654760493,0.03337608334508508
54,0.00033074226333953407,1.2984737051070938e-05,8.227139057001268e-06,0.9996480458605524,0.0022386190918435222,0.00010952036736570732,7.484856455829754e-05,0.9975770119762325,0.08539810857234367,0.34314826136943555,0.34315391181860744,0.2282997182396134,0.08472709486832522,0.42425511763865315,0.45762226510291737,0.03339552239010433
55,0.0003130345608640525,1.3015988227945834e-05,8.293189750484676e-06,0.9996656562611574,0.0021189799363117005,0.00010979509180649288,7.545713067244038e-05,0.9976957678412093,0.08089813897739176,0.34522860540797917,0.34523366567548003,0.22863958993914907,0.0801878549545956,0.42643030634171725,0.4599676977824388,0.03341414092124842
56,0.0002971257015682832,1.304387768545475e-05,8.352736816532772e-06,0.9996814776839297,0.002011473667817206,0.00011004037771652769,7.600585656215721e-05,0.9978024800979042,0.07684839690700783,0.3470980628379389,0.34710259898584006,0.22895094126921317,0.076110456667071,0.4283836911486628,0.46207397590750326,0.033431876276762924
57,0.00028275496241868253,1.3068920767574146e-05,8.40669418084914e-06,0.9996957694226329,0.0019143446082598636,0.00011026072203964939,7.650314012658182e-05,0.997898891529574,0.0731845708538307,0.34878714817217366,0.34879121595313617,0.22923706502085947,0.07242780160541185,0.43014756634959894,0.46397591887251366,0.03344871317247565
