tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_carvone,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_carvone,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_carvone,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_carvone,phase2_w_water4C_aparicio2007
227,0.000592685670269897,0.0002784773778016162,5.747501444296794e-06,0.9991230894504841,0.003997861032810387,0.002309893310483281,4.7673944802912856e-05,0.9936445717119035,0.12801243843774315,0.3628259522021417,0.36285010293333125,0.14631150642678398,0.12285885057122777,0.4282046261081935,0.42823312863056406,0.02070339469001467
228,0.0005790903305505547,0.00027991225659420996,5.754674080796449e-06,0.9991352427387745,0.003906420262835152,0.0023219523320227404,4.773666957109063e-05,0.993723890735571,0.12496889689281329,0.3645807460296377,0.3645978927987367,0.14585246427881227,0.11980033587665666,0.4297823361643825,0.42980254946023344,0.02061477849872728
229,0.0005661062053385322,0.0002812825239926483,5.761458083138553e-06,0.9991468498125857,0.003819078906739024,0.0023334698834526837,4.779603343622665e-05,0.9937996551763721,0.12206660076695174,0.3662532922179083,0.36626369251684554,0.14541641449829443,0.1168904911379889,0.4312832618269777,0.4312955087471964,0.02053073828783706
230,0.0005536928735089768,0.00028259245513107586,5.767884028541256e-06,0.9991579467873314,0.003735566600520634,0.002344481694033875,4.7852298505114204e-05,0.9938720994069403,0.11929594995434044,0.3678492404119291,0.3678531386138159,0.14500167101991449,0.1141187284049342,0.43271287868847874,0.43271746426858826,0.020450928637998692
231,0.0029226968953452556,4.107954505702374e-05,2.0400644283478606e-06,0.9970341834951694,0.019487733590627887,0.0003368231356181611,1.6727081487035877e-05,0.980158716192267,0.6359115430066229,0.04604471734923138,0.04618963640471019,0.2718541032394356,0.8055492822585674,0.07172556065174394,0.07195130642893054,0.05077385066075827
232,0.00260596383069684,7.099743742767808e-05,3.0701388328855076e-06,0.9973199685930426,0.017403293503335446,0.0005830482123411909,2.5212726304052855e-05,0.9819884455580192,0.5818344721288038,0.08411397726864082,0.08433825745704285,0.24971329314551258,0.7045731165132262,0.12525455323959186,0.12558853001385695,0.044583800233325054
233,0.0023649934609741743,9.450224680526832e-05,3.682316009871786e-06,0.9975368219762107,0.015812970691056513,0.0007770060302875962,3.027633566205785e-05,0.9833797469429938,0.5346540545467354,0.11578335014878854,0.11605091474229598,0.2335116805621801,0.6259348857182067,0.16668677251839603,0.16707197020420006,0.04030637155919718
234,0.002171811910004798,0.0001137673130414323,4.085784908385983e-06,0.9977103349920453,0.014535245623947117,0.0009363029663494653,3.362593725136564e-05,0.984494825472452,0.4937526321567617,0.14240954533436984,0.14269900581242936,0.22113881669643917,0.5630310845031831,0.19969205314155455,0.20009794557686372,0.037178916778398616
235,0.0020116418447196083,0.0001299871255081738,4.371114116811793e-06,0.9978539999156554,0.013473981677478505,0.0010706422191646828,3.600279104526527e-05,0.9854193733123117,0.4582254741890639,0.16504852879856302,0.16534665118205716,0.21137934583031587,0.5115966035809871,0.2265994306706442,0.22700873066781288,0.034795235080555834
236,0.001875714476348312,0.00014390138737309138,4.583369920423812e-06,0.9979758007663581,0.01257201094158085,0.001186046550492689,3.777649529991346e-05,0.9862041660126266,0.42721056316155476,0.18450378099980008,0.18480217286208184,0.20348348297656324,0.4687683855544013,0.2489547036915905,0.24935732989933426,0.03291958085467396
237,0.00175837216162978,0.00015600652979192424,4.747361289399994e-06,0.998080873947289,0.011792379555645497,0.0012865662657576922,3.915089255848665e-05,0.9868819032860383,0.39996949554762523,0.20138692259053248,0.2016801994075722,0.19696338245427006,0.4325582249896841,0.26782289687251554,0.26821292342297254,0.03140595471482777
238,0.0016557321873059867,0.00016665493854057536,4.877831424771814e-06,0.9981727350427286,0.01110968358911355,0.0013750817557275307,4.024733415316761e-05,0.9874749873210057,0.3758924482703143,0.21616746786857938,0.21645217530414598,0.1914879085569602,0.4015443722243479,0.2839612058199471,0.28433520227513315,0.030159219680571767
239,0.001565003240019915,0.00017610711842379776,4.984080219621761e-06,0.9982539055613366,0.010505631078850722,0.001453725971405376,4.114249851840665e-05,0.9879995004512254,0.35448187769064116,0.22920990650523776,0.22948385865950452,0.1868243571446165,0.37468409484446363,0.29792252355747134,0.29827860117373833,0.029114780424326726
240,0.001484105556972343,0.0001845616153475658,5.072261026335395e-06,0.9983262605666539,0.009966572955763737,0.0015241270647656261,4.1887205501724125e-05,0.9884674127739689,0.3353325828685026,0.24080057127814625,0.24106243049966708,0.1828044153536841,0.35119567169745636,0.3101199085719546,0.31045714929113444,0.028227270439454694
241,0.0014114453937490333,0.0001921733889028128,5.146606101920458e-06,0.9983912346112462,0.009482035519169993,0.0015875575565538723,4.2516466272248274e-05,0.9888878904580038,0.31811361274274347,0.25116704133733464,0.25141604429760883,0.1793033016223131,0.3304817296361133,0.32086813088072175,0.3211862343787824,0.027463905104382597
242,0.001345773522140354,0.00019906570360701435,5.2101222550201275e-06,0.9984499506519977,0.009043798739161437,0.0016450309999323715,4.3055194680173214e-05,0.9892681150662259,0.30255325359247864,0.2604922075505199,0.2607279827954958,0.17622655606150558,0.3120780226204342,0.33041125135243193,0.33071031132993745,0.02680041469719639
243,0.0012860924711763993,0.00020533816102729683,5.265004393330363e-06,0.998503304363403,0.008645291447987211,0.0016973673526638723,4.352160613575775e-05,0.9896138195932133,0.28842704727610274,0.2689245785674468,0.26914702287965264,0.17350135127679792,0.2956183535710548,0.3389414165843478,0.3392217761955511,0.026218453649046375
244,0.0012315933871437283,0.00021107230992278159,5.312892153629585e-06,0.9985520214107798,0.008281179235461731,0.001745238691839556,4.392932903172989e-05,0.989929652743667,0.27554835666958266,0.2765859096217344,0.27679510303880794,0.17107063066987485,0.28081001337321276,0.34661196477983997,0.3468741218123874,0.025703900034559954
245,0.0011816117355350356,0.00021633568452094593,5.355035594634729e-06,0.9985966975443493,0.007947075034493094,0.0017892021592283514,4.428876941814685e-05,0.9902194340368603,0.2637609666340077,0.2835769104613304,0.28377305719647355,0.1688890657081883,0.2674162401944881,0.35354675291710436,0.3537912969499466,0.025245709938460845
246,0.0011355953275298805,0.00022118475761366798,5.392403691409334e-06,0.998637827511165,0.007639330012566098,0.001829724079943798,4.4608005494587394e-05,0.9904863379019956,0.25293328745956933,0.2899815748244621,0.29016496182313345,0.16692017589283512,0.2552434698215567,0.35984691915683753,0.3600744896379112,0.024835121383694484
247,0.0010930808153601101,0.00022566717131743204,5.4257596087649e-06,0.9986758262537136,0.00735487970559658,0.001867198202432771,4.489340886037673e-05,0.9907330286831102,0.2429537825508996,0.2958704859382155,0.2960414536182992,0.16513427789258567,0.24413191666512007,0.36559586439839276,0.36580712263385406,0.024465096302633122
248,0.001053676012369244,0.00022982343003173248,5.455712493424226e-06,0.9987110448451056,0.007091128167930743,0.001901959555335423,4.515007241254005e-05,0.9909617622043213,0.23372735464738303,0.3013033768224184,0.3014622983289166,0.16350697020128196,0.23394851526935814,0.3708629787602036,0.37105858925720675,0.02412991671323149
249,0.0010170463883879483,0.00023368820950040695,5.482754413484417e-06,0.9987437826476981,0.006845859398919751,0.0019342951729318584,4.5382115850202024e-05,0.9911744633122982,0.22517246837471702,0.306331128571959,0.306478395043303,0.1620180080100211,0.22458155980867725,0.37570646624781034,0.37588708441026536,0.02382488953324713
250,0.0009829046015429397,0.00023729138035108422,5.507287026556048e-06,0.9987742967310794,0.00661716862249438,0.0019644524892118037,4.5592906460044815e-05,0.9913727859818338,0.21721884606788147,0.31099734557120623,0.3111333556880511,0.16065045267286113,0.21593658387229794,0.3801755125341993,0.3803417767053174,0.023546126888185515
251,0.0009510023142470416,0.00024065882955768997,5.529641654775519e-06,0.9988028092145406,0.00640340851860234,0.0019926460810906943,4.578522547240658e-05,0.9915581601748346,0.20980560993992653,0.31533960644982295,0.3154647590616935,0.15939002454855694,0.20793315818309457,0.38431196715880295,0.3844644936587391,0.023290380999363383
252,0.0009211236960288088,0.0002438131199709104,5.550094364915465e-06,0.9988295130896353,0.006203146501761671,0.002019063087148331,4.596139315114695e-05,0.9917318290179388,0.20287977561083143,0.3193904664387233,0.31950515541125735,0.1582246025391881,0.20050237642486426,0.38815166261574874,0.3882910428416808,0.023054918117706102
253,0.000841855128817487,0.0002521828319297282,5.602177860534084e-06,0.9989003598613923,0.005671559281875601,0.0020891968618071046,4.641098014465327e-05,0.9921928328761727,0.18459095063853861,0.3300608462601217,0.33014641105113757,0.1552017920502021,0.1810905424970551,0.39817877465845203,0.3982819983035061,0.022448684540986707
254,0.0008183984044466257,0.0002546597412058371,5.617006607980919e-06,0.9989213248477395,0.00551417458655476,0.002109962639089746,4.653925284868823e-05,0.9923293235215068,0.17920408523954187,0.33319659619680314,0.33327316763513215,0.15432615092852292,0.1754297783534494,0.4011018809358307,0.4011940575915658,0.022274283119154196
255,0.0007962207940354878,0.0002570015943414859,5.6307902978377344e-06,0.9989411468213252,0.005365338462652067,0.0021296005955740212,4.665859915209089e-05,0.9924584023426217,0.17412195327796615,0.3361520547352245,0.3362199676027174,0.153506024384092,0.1701124735558,0.4038472529106859,0.40392884225273495,0.022111431280779192
256,0.0007752197514669414,0.0002592191871499679,5.643634867312968e-06,0.9989599174265158,0.005224368159028726,0.0021482005456406397,4.6769915586319115e-05,0.9925806613797442,0.16931948270952799,0.3389423251383171,0.3390019002607123,0.1527362918914426,0.16510827175771917,0.4064306357017135,0.4065020730911195,0.02195901944944784
257,0.0007553034904675119,0.0002613221894166855,5.6556324577692525e-06,0.9989777186876581,0.005090652306918419,0.0021658429692792826,4.6873982736902357e-05,0.9926966307410654,0.1647742691409596,0.34158087112612445,0.34163241546717377,0.15201244426574206,0.16039029305348698,0.4088659668274937,0.4089276644476448,0.021816075671374488
258,0.0007363895981799049,0.0002633192890361912,5.6668635908691026e-06,0.9989946242491929,0.0049636417531162165,0.0021826002029027088,4.697148343565868e-05,0.9928067865605453,0.1604662316581931,0.3440797332758085,0.3441235401946713,0.1513304948713272,0.15593465004544657,0.4111656285037099,0.4112179765427983,0.02168174490804527
